uid	data_type	xy_type	school	student_id	course_name	group	test_type	question_id	slide_id	correctness	student_answer	correct_answer	question_content	course_content
6756b510-ca66-460f-965f-86a20f1ba0f6	test	past	elementary school	u1	6	group 1	pre test	3	6	1	Full connections	B	In an ART network, the interface layer activates the category layer through ____. <please select the best answer> A. one-to-one connections B. full connections	Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
bb04b051-db3c-41d0-89fc-98ec0b810475	test	past	elementary school	u1	6	group 1	pre test	4	3	0	no teacher	cluster/classification	Please write another name for “grouping” in unsupervised learning. <please input your answer>	Grouping. An unsupervised learning neural network can group similar inputs. Grouping is also called clustering classification or categorization. E.g., grouping images of cats and images of dogs. The picture contains an example of grouping.
2e727e3a-c2b8-4338-8b93-0ea4dd283abc	test	past	elementary school	u1	6	group 1	pre test	1	6	1	Interface layer;Category layer	BC	In an ART network, resonance is introduced to realize stable category formation. Resonance is established between which two layers? <please select the answer> A. Input layer B. Interface layer C. Category layer	Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
5e77b7c4-f296-4d6c-a6ff-fff14bd41b12	test	future	elementary school	u1	6	group 1	pre test	8	10	1	True	T	True or False: The clustering of K-means is that for each sample point, find the closest center point to it. <please select the best answer> True or False	The process of k-means clustering. Step 2: For each sample point find the center point closest to it and the points closest to the same center point is a class. Thus completing a clustering. Closest to green! Closest to red! Closest to blue! It contains a picture of an example of step 2.
a536adbb-e4b3-4867-b477-6fa1e5c9dd23	test	future	elementary school	u1	6	group 1	pre test	9	12	1	False	F	True or False: After each clustering, there is no need to recalculate the center points. <please select the best answer> True or False	The process of k-means clustering. Step 4: for the sample points in each category calculate the center point of these sample points as the new center points. Continue to step 2. It contains a picture of an example of step 4.
6e5a789c-b374-4563-b79a-c5b1b9198aca	test	past	elementary school	u1	6	group 1	pre test	2	6	1	One-to-one connections	A	In an ART network, the input layer sends signals to the interface layer through ____. <please select the best answer> A. one-to-one connections B. full connections	Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
a901f1f3-f8be-471b-adcd-8f3089285f30	test	future	elementary school	u1	6	group 1	pre test	6	16	0	Larger	B	The unsupervised ANN that can compress usually has a middle layer that has a much ____ number of neurons. <please select the best answer> A. larger B. smaller	Unsupervised ANNs that compress. These networks usually have a middle layer that has a much smaller number of neurons making an hourglass-structure. These networks usually compress the inputs and reproduce the inputs. It contains a picture of the structure of unsupervised ANNs and a picture of biscuits.
9b88bf72-6efe-4f70-9b8c-996f5916b70a	test	past	elementary school	u1	6	group 1	pre test	5	4	0	Teuvo Kohonen	B	Which person created Adaptive resonance theory1 (ART1)? <please select the best answer> A. David Hubel B. Stephen Grossberg C. Teuvo Kohonen	Adaptive resonance theory 1 (ART1). Adaptive resonance theory 1: an example of a neural network that performs grouping. Created by cognitive scientist Stephen Grossberg and mathematician Gail Carpenter. It contains a picture of Stephen.
f97c009a-6746-4e66-88e1-1954095cc6ba	test	future	elementary school	u1	6	group 1	pre test	10	11	0	i?	The categories of sample points before and after the clustering are the same	What is the end condition of the K-means algorithm? <please input your answer>	The process of k-means clustering. Step 3: determine whether the categories of the samples points before and after the clustering are the same. If they are the same, the algorithm terminates. Otherwise, enter step 4. In this example the sample points before and after are different then we enter step 4. It contains a picture of an example of step 3.
114c44be-4eb9-4e02-83ad-fd5a45fcd6a0	test	future	elementary school	u1	6	group 1	pre test	7	9	1	False	F	True or False: The k center points are selected from sample points. <please select the best answer> True or False	The process of k-means clustering. Step 1: select the number k of categories to be clustered and select k center points. E.g., k=3. The k center points are randomly selected on the plane. It contains a picture of an example of step 1.
