uid,data_type,xy_type,school,student_id,course_name,group,test_type,question_id,slide_id,correctness,student_answer,correct_answer,question_content,course_content
9e92cb9f-2f45-4e5a-802d-a7110e13042b,test,past,elementary school,u1,6,group 1,post test,3,6,1,Full connections,B,"In an ART network, the interface layer activates the category layer through ____. <please select the best answer> A. one-to-one connections B. full connections",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
d792ab09-03a5-4703-b825-a0ba47faffbf,test,past,elementary school,u1,6,group 1,post test,4,3,1,Cluster,cluster/classification,Please write another name for “grouping” in unsupervised learning. <please input your answer>,"Grouping. An unsupervised learning neural network can group similar inputs. Grouping is also called clustering classification or categorization. E.g., grouping images of cats and images of dogs. The picture contains an example of grouping."
f32b3931-7dfa-4a30-9de1-ccd2969b6cc1,test,past,elementary school,u1,6,group 1,post test,1,6,1,Interface layer;Category layer,BC,"In an ART network, resonance is introduced to realize stable category formation. Resonance is established between which two layers? <please select the answer> A. Input layer B. Interface layer C. Category layer",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
c6442e41-39f3-4589-81fc-c7162eda3471,test,future,elementary school,u1,6,group 1,post test,8,10,1,True,T,"True or False: The clustering of K-means is that for each sample point, find the closest center point to it. <please select the best answer> True or False",The process of k-means clustering. Step 2: For each sample point find the center point closest to it and the points closest to the same center point is a class. Thus completing a clustering. Closest to green! Closest to red! Closest to blue! It contains a picture of an example of step 2.
83fa78d1-9943-4595-abf3-9316681345c9,test,future,elementary school,u1,6,group 1,post test,9,12,1,False,F,"True or False: After each clustering, there is no need to recalculate the center points. <please select the best answer> True or False",The process of k-means clustering. Step 4: for the sample points in each category calculate the center point of these sample points as the new center points. Continue to step 2. It contains a picture of an example of step 4.
09860b87-c959-42a6-bcb8-d80cb88e08cc,test,past,elementary school,u1,6,group 1,post test,2,6,1,One-to-one connections,A,"In an ART network, the input layer sends signals to the interface layer through ____. <please select the best answer> A. one-to-one connections B. full connections",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
3a81f82c-1c02-4bc4-9e3b-4c11a244c74d,test,future,elementary school,u1,6,group 1,post test,6,16,1,Smaller,B,The unsupervised ANN that can compress usually has a middle layer that has a much ____ number of neurons. <please select the best answer> A. larger B. smaller,Unsupervised ANNs that compress. These networks usually have a middle layer that has a much smaller number of neurons making an hourglass-structure. These networks usually compress the inputs and reproduce the inputs. It contains a picture of the structure of unsupervised ANNs and a picture of biscuits.
c60d8dc7-dbfe-4053-8858-896b98af5fd4,test,past,elementary school,u1,6,group 1,post test,5,4,1,Stephen Grossberg,B,Which person created Adaptive resonance theory1 (ART1)? <please select the best answer> A. David Hubel B. Stephen Grossberg C. Teuvo Kohonen,Adaptive resonance theory 1 (ART1). Adaptive resonance theory 1: an example of a neural network that performs grouping. Created by cognitive scientist Stephen Grossberg and mathematician Gail Carpenter. It contains a picture of Stephen.
c652409e-d438-4ffa-9811-11bfae5c0a38,test,future,elementary school,u1,6,group 1,post test,10,11,1,The categories of sample points before and after the clustering are the same.,The categories of sample points before and after the clustering are the same,What is the end condition of the K-means algorithm? <please input your answer>,"The process of k-means clustering. Step 3: determine whether the categories of the samples points before and after the clustering are the same. If they are the same, the algorithm terminates. Otherwise, enter step 4. In this example the sample points before and after are different then we enter step 4. It contains a picture of an example of step 3."
ef314710-2ef9-4191-b032-d92eddad7ae1,test,future,elementary school,u1,6,group 1,post test,7,9,1,False,F,True or False: The k center points are selected from sample points. <please select the best answer> True or False,"The process of k-means clustering. Step 1: select the number k of categories to be clustered and select k center points. E.g., k=3. The k center points are randomly selected on the plane. It contains a picture of an example of step 1."
666d2274-ae86-4dc1-a9e0-8b979b9e76bb,train,past,elementary school,u16,6,group 1,post test,3,6,1,Full connections,B,"In an ART network, the interface layer activates the category layer through ____. <please select the best answer> A. one-to-one connections B. full connections",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
7ca8dcfa-b71f-4f38-a14a-b2387b510303,train,past,elementary school,u16,6,group 1,post test,4,3,1,Cluster,cluster/classification,Please write another name for “grouping” in unsupervised learning. <please input your answer>,"Grouping. An unsupervised learning neural network can group similar inputs. Grouping is also called clustering classification or categorization. E.g., grouping images of cats and images of dogs. The picture contains an example of grouping."
6813f48e-7720-452c-a7d8-d95885cd3fc5,train,past,elementary school,u16,6,group 1,post test,1,6,1,Interface layer;Category layer,BC,"In an ART network, resonance is introduced to realize stable category formation. Resonance is established between which two layers? <please select the answer> A. Input layer B. Interface layer C. Category layer",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
ee2aa46f-19fa-4fde-80ed-f9e9611ee836,train,future,elementary school,u16,6,group 1,post test,8,10,1,True,T,"True or False: The clustering of K-means is that for each sample point, find the closest center point to it. <please select the best answer> True or False",The process of k-means clustering. Step 2: For each sample point find the center point closest to it and the points closest to the same center point is a class. Thus completing a clustering. Closest to green! Closest to red! Closest to blue! It contains a picture of an example of step 2.
9137b907-b4a9-4ca3-bd2a-07234c8cb484,train,future,elementary school,u16,6,group 1,post test,9,12,1,False,F,"True or False: After each clustering, there is no need to recalculate the center points. <please select the best answer> True or False",The process of k-means clustering. Step 4: for the sample points in each category calculate the center point of these sample points as the new center points. Continue to step 2. It contains a picture of an example of step 4.
df07f577-f7e7-44a8-808e-b705ad077ed6,train,past,elementary school,u16,6,group 1,post test,2,6,1,One-to-one connections,A,"In an ART network, the input layer sends signals to the interface layer through ____. <please select the best answer> A. one-to-one connections B. full connections",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
bb092721-65b4-4380-937c-6342777133ef,train,future,elementary school,u16,6,group 1,post test,6,16,1,Smaller,B,The unsupervised ANN that can compress usually has a middle layer that has a much ____ number of neurons. <please select the best answer> A. larger B. smaller,Unsupervised ANNs that compress. These networks usually have a middle layer that has a much smaller number of neurons making an hourglass-structure. These networks usually compress the inputs and reproduce the inputs. It contains a picture of the structure of unsupervised ANNs and a picture of biscuits.
8228f6fd-0fa7-4880-b159-f096e0fb192a,train,past,elementary school,u16,6,group 1,post test,5,4,1,Stephen Grossberg,B,Which person created Adaptive resonance theory1 (ART1)? <please select the best answer> A. David Hubel B. Stephen Grossberg C. Teuvo Kohonen,Adaptive resonance theory 1 (ART1). Adaptive resonance theory 1: an example of a neural network that performs grouping. Created by cognitive scientist Stephen Grossberg and mathematician Gail Carpenter. It contains a picture of Stephen.
08714269-967e-4195-8a75-8fc7ce7e9bec,train,future,elementary school,u16,6,group 1,post test,10,11,1, The categories of sample points before and after the clustering are the same.,The categories of sample points before and after the clustering are the same,What is the end condition of the K-means algorithm? <please input your answer>,"The process of k-means clustering. Step 3: determine whether the categories of the samples points before and after the clustering are the same. If they are the same, the algorithm terminates. Otherwise, enter step 4. In this example the sample points before and after are different then we enter step 4. It contains a picture of an example of step 3."
c1d5f7f0-c1f0-493e-a97b-cdc1b9493ceb,train,future,elementary school,u16,6,group 1,post test,7,9,1,False,F,True or False: The k center points are selected from sample points. <please select the best answer> True or False,"The process of k-means clustering. Step 1: select the number k of categories to be clustered and select k center points. E.g., k=3. The k center points are randomly selected on the plane. It contains a picture of an example of step 1."
ee6ffa99-7995-4a0a-99fb-c1f32bca5a06,train,past,elementary school,u4,6,group 1,post test,3,6,0,One-to-one connections,B,"In an ART network, the interface layer activates the category layer through ____. <please select the best answer> A. one-to-one connections B. full connections",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
2aa41fff-1821-419b-8aa4-44ec4a47e5dd,train,past,elementary school,u4,6,group 1,post test,4,3,1,cluster,cluster/classification,Please write another name for “grouping” in unsupervised learning. <please input your answer>,"Grouping. An unsupervised learning neural network can group similar inputs. Grouping is also called clustering classification or categorization. E.g., grouping images of cats and images of dogs. The picture contains an example of grouping."
f45df7e1-d8c0-45ac-a1cc-83b7fa88b605,train,past,elementary school,u4,6,group 1,post test,1,6,1,Interface layer;Category layer,BC,"In an ART network, resonance is introduced to realize stable category formation. Resonance is established between which two layers? <please select the answer> A. Input layer B. Interface layer C. Category layer",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
5dbc58f9-3818-4727-9f2b-a64c404645fb,train,future,elementary school,u4,6,group 1,post test,8,10,1,True,T,"True or False: The clustering of K-means is that for each sample point, find the closest center point to it. <please select the best answer> True or False",The process of k-means clustering. Step 2: For each sample point find the center point closest to it and the points closest to the same center point is a class. Thus completing a clustering. Closest to green! Closest to red! Closest to blue! It contains a picture of an example of step 2.
38b4796c-1730-4ae6-b9a3-b37bd3f46429,train,future,elementary school,u4,6,group 1,post test,9,12,1,False,F,"True or False: After each clustering, there is no need to recalculate the center points. <please select the best answer> True or False",The process of k-means clustering. Step 4: for the sample points in each category calculate the center point of these sample points as the new center points. Continue to step 2. It contains a picture of an example of step 4.
29b18261-b49c-4d78-bee8-546f2618c013,train,past,elementary school,u4,6,group 1,post test,2,6,1,One-to-one connections,A,"In an ART network, the input layer sends signals to the interface layer through ____. <please select the best answer> A. one-to-one connections B. full connections",Details about ART1. Input layer: sends signals to the interface layer through one-to-one connections. Interface layer: activates the category layer through full connections. Category layer: sends back activations to the interface layer through full connections. The interaction between the interface and category layer weights creates resonance. It contains a picture of the structure of ART1.
8a7965fc-25b0-4c39-b8bc-afbb5296c307,train,future,elementary school,u4,6,group 1,post test,6,16,1,Smaller,B,The unsupervised ANN that can compress usually has a middle layer that has a much ____ number of neurons. <please select the best answer> A. larger B. smaller,Unsupervised ANNs that compress. These networks usually have a middle layer that has a much smaller number of neurons making an hourglass-structure. These networks usually compress the inputs and reproduce the inputs. It contains a picture of the structure of unsupervised ANNs and a picture of biscuits.
e1529aa3-12ef-432a-bcf6-de264754e992,train,past,elementary school,u4,6,group 1,post test,5,4,1,Stephen Grossberg,B,Which person created Adaptive resonance theory1 (ART1)? <please select the best answer> A. David Hubel B. Stephen Grossberg C. Teuvo Kohonen,Adaptive resonance theory 1 (ART1). Adaptive resonance theory 1: an example of a neural network that performs grouping. Created by cognitive scientist Stephen Grossberg and mathematician Gail Carpenter. It contains a picture of Stephen.
